modelName, participant, isFiltered, Accuracy, correct, wrong, False paced, False slowBreath, False stressor, False baseline, SD paced, SD slowBreath, SD stressor, SD baseline, Predictions, Unique Predictions, Paced Samples, slowBreath Samples, Stressor Samples, Baseline Samples
models-eegLib-high/EEGNet,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep.h5,True,0.22072072072072071,49,173,120,0,48,5,0.11327185,0.037505116,0.1516503,0.07137897,222,217,50160,50140,45098,15030
models-eegLib-high/EEGNet,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep.h5,True,0.19730941704035873,44,179,70,2,15,92,0.12951154,0.07637192,0.11838823,0.16939574,223,223,50086,50114,45048,15027
models-eegLib-high/EEGNet,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep.h5,True,0.19196428571428573,43,181,133,0,35,13,0.30447733,0.045763247,0.22164735,0.14369963,224,213,50140,50150,45208,15030
models-eegLib-high/EEGNet,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep.h5,True,0.15246636771300448,34,189,49,29,21,90,0.15407373,0.15761985,0.115176335,0.19758026,223,220,50077,50143,45042,15031
models-eegLib-high/EEGNet,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep.h5,True,0.22321428571428573,50,174,120,0,53,1,0.18359272,0.053114917,0.18998545,0.08224625,224,217,50149,50129,45137,15029
models-eegLib-high/EEGNet,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep.h5,True,0.19282511210762332,43,180,175,5,0,0,0.046065073,0.13193616,0.06524938,0.046479266,223,3,50091,50144,45121,15031
models-eegLib-high/EEGNet,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep.h5,True,0.25675675675675674,57,165,53,7,25,80,0.16647172,0.095569946,0.17719156,0.18979579,222,221,50125,50154,45095,15030
models-eegLib-high/EEGNet,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep.h5,True,0.1891891891891892,42,180,27,42,4,107,0.09061835,0.088545166,0.06818119,0.15026814,222,220,50024,50136,45087,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep-2000ep-2000ep.h5,False,0.18468468468468469,41,181,181,0,0,0,0.08008806,0.006481712,0.034248542,0.040349618,222,217,50174,50139,45091,15088
models-eegLib-high/Deep,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep-2000ep-2000ep.h5,False,0.37668161434977576,84,139,0,137,2,0,0.0,0.14832053,0.14832053,0.0,223,6,50141,50139,45149,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep-2000ep-2000ep.h5,False,0.18385650224215247,41,182,182,0,0,0,0.0,0.0,0.0,0.0,223,52,50150,50117,45147,15062
models-eegLib-high/Deep,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep-2000ep-2000ep.h5,False,0.3721973094170404,83,140,0,137,3,0,0.0,0.14805001,0.14805001,0.0,223,4,50111,50115,45035,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep-2000ep-2000ep.h5,False,0.36936936936936937,82,140,0,140,0,0,9.7066255e-08,9.600964e-08,0.0,0.0,222,36,50138,50031,45084,15040
models-eegLib-high/Deep,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep-2000ep-2000ep.h5,False,0.11711711711711711,26,196,0,4,0,192,0.0,0.16216226,0.0,0.16216226,222,7,50160,50140,45098,15030
models-eegLib-high/Deep,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep-2000ep-2000ep.h5,False,0.35874439461883406,80,143,0,0,122,21,0.0,0.0,0.39575034,0.3957504,223,216,50086,50114,45048,15027
